ISO Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AFG,,,,,,,,,,,,0.3565,0.3506,0.345,0.3397,0.3341,0.3287,0.32330000000000003,0.31810000000000005,0.313,0.3078,0.30210000000000004,0.2964,0.2908,0.2849,0.2794,0.2736,0.26780000000000004,0.2616,0.2555,0.2491,0.2427,0.2362,0.2297,0.22290000000000001,0.216,0.2092,0.2021,0.195,0.18780000000000002,0.181,0.1742,0.1678,0.162,0.15680000000000002,0.15230000000000002,0.14859999999999998,0.1455,0.1426,0.1399,0.137,0.1338,0.1303,0.1268,0.1232,0.1196,0.1163,0.11320000000000001,0.11040000000000001,0.1076,0.105,0.1023,0.0995,0.09670000000000001,0.09390000000000001,0.0911
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0911,0.0847,0.07859999999999999,0.073,0.0678,0.0628,0.0583,0.054299999999999994,0.0507,0.0476,0.044899999999999995,0.0425,0.040600000000000004,0.038799999999999994,0.0373,0.036,0.0346,0.0332,0.0318,0.0303,0.0289,0.0275,0.026199999999999998,0.0249,0.023600000000000003,0.0225,0.0215,0.0205,0.0195,0.018699999999999998,0.0179,0.0173,0.0166,0.016,0.0155,0.0149,0.0144,0.014
DZA,,,,,0.251,0.2499,0.249,0.248,0.2475,0.24669999999999997,0.24630000000000002,0.24609999999999999,0.2462,0.24680000000000002,0.2474,0.24819999999999998,0.24869999999999998,0.2484,0.2474,0.24530000000000002,0.2417,0.2365,0.23,0.2225,0.2142,0.205,0.19519999999999998,0.1849,0.1738,0.1618,0.14809999999999998,0.1325,0.1158,0.0992,0.0838,0.0712,0.0619,0.0554,0.0512,0.0485,0.046799999999999994,0.045700000000000005,0.044899999999999995,0.0441,0.0433,0.0425,0.0418,0.041100000000000005,0.040600000000000004,0.0402,0.039700000000000006,0.0389,0.0378,0.0365,0.0351,0.033600000000000005,0.032100000000000004,0.030699999999999998,0.0294,0.028300000000000002,0.0273,0.026600000000000002,0.0261,0.0258,0.0256,0.0255
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0085,0.0079,0.0074,0.006900000000000001,0.0064,0.006,0.0057,0.0053,0.005,0.0048,0.0046,0.0044,0.004200000000000001,0.0040999999999999995,0.004,0.0039,0.0037,0.0036,0.0035,0.0034,0.0033,0.0032,0.0031,0.003,0.0029,0.0028
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2341,0.2328,0.2315,0.2302,0.2291,0.2283,0.2275,0.22690000000000002,0.2265,0.22619999999999998,0.226,0.22590000000000002,0.226,0.2258,0.2255,0.2248,0.224,0.2226,0.22080000000000002,0.2189,0.21669999999999998,0.21409999999999998,0.2117,0.2092,0.2067,0.2039,0.2005,0.19640000000000002,0.192,0.18730000000000002,0.1825,0.1773,0.1722,0.1671,0.16219999999999998,0.1569
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0255,0.0242,0.023100000000000002,0.0219,0.0208,0.0197,0.0188,0.0179,0.017,0.0162,0.0155,0.0148,0.0141,0.0135,0.0129,0.0124,0.011800000000000001,0.011300000000000001,0.0109,0.0104,0.0099,0.0095,0.0091,0.0087,0.008400000000000001,0.0081
ARG,,,,,,,,,,,,,,,,,,,,0.0732,0.0724,0.0715,0.0704,0.0688,0.06659999999999999,0.0638,0.060200000000000004,0.0559,0.0514,0.047,0.0431,0.04,0.0376,0.0358,0.0344,0.033100000000000004,0.0319,0.0308,0.0297,0.0286,0.027600000000000003,0.026600000000000002,0.0257,0.0248,0.0241,0.023399999999999997,0.022699999999999998,0.022,0.0214,0.0208,0.0202,0.0197,0.0192,0.018600000000000002,0.0179,0.0171,0.016399999999999998,0.0158,0.0154,0.015,0.0146,0.014199999999999999,0.013800000000000002,0.013300000000000001,0.0129,0.0125
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0881,0.0846,0.08120000000000001,0.078,0.07490000000000001,0.072,0.0692,0.06659999999999999,0.064,0.0615,0.0591,0.0567,0.08170000000000001,0.0521,0.0498,0.0475,0.045200000000000004,0.0429,0.040799999999999996,0.038700000000000005,0.0368,0.035,0.033299999999999996,0.0317,0.030100000000000002,0.0287,0.0273,0.0259,0.0246,0.023399999999999997,0.0222,0.0211,0.02,0.019,0.018,0.0172,0.016300000000000002,0.0155,0.0147,0.0141
AUS,0.0316,0.031,0.0303,0.0295,0.0287,0.028,0.0273,0.026600000000000002,0.026,0.0254,0.0249,0.024300000000000002,0.0237,0.0232,0.022699999999999998,0.0224,0.0221,0.022,0.0219,0.0217,0.0214,0.0209,0.0202,0.0193,0.0184,0.0173,0.0162,0.015300000000000001,0.0144,0.0136,0.013,0.0126,0.012199999999999999,0.0119,0.0116,0.011300000000000001,0.011,0.0106,0.010199999999999999,0.009699999999999999,0.0092,0.0086,0.0081,0.0077,0.0073,0.007,0.0068,0.0066,0.0065,0.0064,0.0062,0.0060999999999999995,0.006,0.006,0.005900000000000001,0.0057,0.0056,0.0054,0.0052,0.005,0.0048,0.0045,0.0043,0.0040999999999999995,0.0039,0.0038
AUT,,,,,0.055,0.053399999999999996,0.0517,0.0499,0.047799999999999995,0.045399999999999996,0.0428,0.040299999999999996,0.037899999999999996,0.0359,0.0342,0.032799999999999996,0.0315,0.0305,0.0298,0.0294,0.0291,0.0287,0.028,0.0268,0.0251,0.023100000000000002,0.0211,0.019399999999999997,0.0181,0.0171,0.016300000000000002,0.0155,0.0147,0.014,0.013300000000000001,0.0126,0.0119,0.0111,0.0105,0.01,0.0095,0.009,0.0085,0.008,0.0074,0.0068,0.0064,0.0060999999999999995,0.0058,0.0056,0.0055,0.0054,0.0053,0.0052,0.005,0.004900000000000001,0.0048,0.0047,0.0046,0.0045,0.0044,0.004200000000000001,0.004,0.0039,0.0037,0.0035
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1082,0.1057,0.1033,0.1011,0.099,0.09720000000000001,0.0958,0.09490000000000001,0.0947,0.095,0.09540000000000001,0.09570000000000001,0.0955,0.0943,0.09209999999999999,0.0886,0.0842,0.0793,0.074,0.0688,0.0638,0.0593,0.055200000000000006,0.0517,0.048600000000000004,0.0458,0.0433,0.041,0.039,0.0373,0.0357,0.0342,0.0329,0.0317
BHS,,,,,,,,,,,,,,,,,,,0.0294,0.03,0.030600000000000002,0.0312,0.0317,0.032100000000000004,0.0322,0.0322,0.0319,0.0315,0.031,0.0305,0.0299,0.0294,0.0289,0.0286,0.0282,0.027899999999999998,0.0273,0.0265,0.0256,0.0246,0.0235,0.0225,0.0216,0.0206,0.019600000000000003,0.018699999999999998,0.0178,0.017,0.016399999999999998,0.0159,0.0157,0.0155,0.0155,0.0154,0.0154,0.015300000000000001,0.015099999999999999,0.0148,0.0145,0.014199999999999999,0.013900000000000001,0.0135,0.0132,0.0128,0.0124,0.0121
BHR,,,,,,,0.2814,0.2586,0.2378,0.21830000000000002,0.2,0.18309999999999998,0.1672,0.15259999999999999,0.1389,0.1263,0.1147,0.104,0.09409999999999999,0.085,0.0768,0.0693,0.0627,0.0569,0.0518,0.0474,0.0436,0.0402,0.037200000000000004,0.0346,0.032299999999999995,0.0303,0.0286,0.0272,0.0259,0.0249,0.0242,0.023600000000000003,0.0233,0.0232,0.023,0.022699999999999998,0.022,0.021,0.019600000000000003,0.0181,0.0166,0.0152,0.0141,0.0132,0.0126,0.0121,0.011800000000000001,0.0115,0.0112,0.0109,0.0105,0.01,0.0094,0.0088,0.0083,0.0078,0.0073,0.006900000000000001,0.0065,0.0062
BGD,,,,0.32289999999999996,0.31310000000000004,0.30410000000000004,0.2954,0.2871,0.2791,0.2715,0.26430000000000003,0.2575,0.2513,0.24559999999999998,0.2404,0.236,0.2323,0.2294,0.2271,0.22540000000000002,0.2241,0.223,0.222,0.22069999999999998,0.2191,0.2171,0.2145,0.2112,0.2074,0.2033,0.1989,0.19419999999999998,0.1894,0.1844,0.17909999999999998,0.1735,0.1677,0.1618,0.15580000000000002,0.1497,0.1437,0.1377,0.13169999999999998,0.1258,0.1199,0.1142,0.10859999999999999,0.1032,0.0979,0.0928,0.088,0.0835,0.079,0.07479999999999999,0.0707,0.0668,0.063,0.0594,0.0559,0.0526,0.0496,0.046700000000000005,0.044,0.0416,0.0395,0.0376
BRB,,,,,0.1688,0.1455,0.1264,0.11120000000000001,0.0995,0.0906,0.0836,0.078,0.0732,0.0687,0.06470000000000001,0.0613,0.0582,0.0555,0.053,0.0505,0.048100000000000004,0.0458,0.0434,0.041100000000000005,0.0389,0.0367,0.0346,0.032600000000000004,0.030600000000000002,0.0289,0.0272,0.0258,0.0246,0.023600000000000003,0.0228,0.022,0.0212,0.020399999999999998,0.0195,0.018699999999999998,0.0179,0.0172,0.0166,0.0161,0.0157,0.0155,0.0154,0.0155,0.0157,0.016,0.016300000000000002,0.0166,0.016800000000000002,0.016800000000000002,0.0167,0.0165,0.0162,0.0158,0.0154,0.015099999999999999,0.0147,0.0144,0.0141,0.013699999999999999,0.013300000000000001,0.013
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0233,0.0223,0.0213,0.0206,0.019899999999999998,0.019399999999999997,0.018699999999999998,0.0181,0.0175,0.017,0.0166,0.0166,0.016800000000000002,0.0171,0.0175,0.0179,0.018,0.0178,0.017,0.0158,0.0143,0.013,0.0119,0.0109,0.010199999999999999,0.0094,0.0087,0.0079,0.0072,0.0066,0.0060999999999999995,0.0056,0.0053,0.005,0.0047,0.0046
BEL,,,,0.0512,0.048299999999999996,0.0455,0.0427,0.040100000000000004,0.037700000000000004,0.0356,0.0339,0.0324,0.031100000000000003,0.03,0.0289,0.027899999999999998,0.027,0.026199999999999998,0.0255,0.0248,0.023899999999999998,0.023,0.0219,0.0208,0.019600000000000003,0.018600000000000002,0.0176,0.0167,0.0159,0.0152,0.0145,0.013900000000000001,0.013300000000000001,0.0127,0.012199999999999999,0.011800000000000001,0.0114,0.011,0.0107,0.0103,0.01,0.0096,0.0092,0.0087,0.008199999999999999,0.0076,0.0070999999999999995,0.0067,0.0063,0.006,0.0058,0.0056,0.0054,0.0052,0.0050999999999999995,0.005,0.004900000000000001,0.0048,0.0047,0.0046,0.0045,0.0044,0.0043,0.0043,0.004200000000000001,0.0040999999999999995
BLZ,,,,,,,,,,,,,,,,,,0.10990000000000001,0.1055,0.1013,0.0973,0.0935,0.0897,0.0863,0.083,0.0799,0.077,0.0742,0.0714,0.0689,0.0664,0.0639,0.061399999999999996,0.0589,0.0562,0.0535,0.0506,0.047700000000000006,0.044899999999999995,0.0422,0.0396,0.037200000000000004,0.035,0.033100000000000004,0.0315,0.030100000000000002,0.0288,0.027800000000000002,0.026699999999999998,0.0258,0.025,0.0242,0.0235,0.0228,0.0222,0.0217,0.0212,0.0206,0.0201,0.0195,0.019,0.0185,0.018,0.0175,0.017,0.0165
BEN,0.3482,0.3451,0.3421,0.339,0.3359,0.3327,0.3295,0.3262,0.3225,0.31839999999999996,0.314,0.3092,0.3039,0.29819999999999997,0.2925,0.2869,0.2814,0.2769,0.2728,0.269,0.2655,0.26180000000000003,0.25780000000000003,0.2534,0.24830000000000002,0.2427,0.237,0.2313,0.2261,0.2215,0.2174,0.2137,0.2102,0.2068,0.2033,0.1997,0.1961,0.19219999999999998,0.1881,0.1839,0.1795,0.175,0.1704,0.1662,0.16240000000000002,0.1591,0.15619999999999998,0.1536,0.1509,0.1479,0.1447,0.1411,0.1371,0.1331,0.12919999999999998,0.1255,0.1221,0.119,0.1163,0.1139,0.11159999999999999,0.1093,0.107,0.10479999999999999,0.1021,0.0995
BTN,,,,,,,,,,,,,,,,,,,,0.2786,0.2715,0.2642,0.2567,0.2495,0.2424,0.2355,0.2284,0.22130000000000002,0.21409999999999998,0.2069,0.1998,0.193,0.1859,0.1789,0.1721,0.16519999999999999,0.15880000000000002,0.1522,0.1459,0.1398,0.13369999999999999,0.1278,0.122,0.1164,0.1108,0.10529999999999999,0.0998,0.0945,0.08940000000000001,0.0844,0.07959999999999999,0.075,0.0706,0.0664,0.062299999999999994,0.0585,0.054799999999999995,0.0513,0.048100000000000004,0.0451,0.0423,0.0399,0.0378,0.036,0.0344,0.0329
BOL,,,,,,,,,,,0.2871,0.2814,0.2761,0.2708,0.26539999999999997,0.2601,0.2545,0.24880000000000002,0.243,0.2371,0.2313,0.2253,0.2191,0.21280000000000002,0.2064,0.2001,0.19390000000000002,0.1879,0.18209999999999998,0.1766,0.1716,0.1668,0.1623,0.15780000000000002,0.15319999999999998,0.1485,0.1438,0.1389,0.134,0.12919999999999998,0.12440000000000001,0.1197,0.1152,0.1107,0.1062,0.1018,0.0975,0.09309999999999999,0.0887,0.0844,0.08020000000000001,0.0762,0.0722,0.0685,0.0648,0.061399999999999996,0.0581,0.0549,0.052,0.0493,0.047,0.044899999999999995,0.0431,0.041299999999999996,0.039799999999999995,0.0384
